Path;SteerAngle;Throttle;Brake;Speed;X_Position;Y_Position;Pitch;Yaw;Roll
C:\Users\The Commander\Documents\GitHub\RoboND-Rover-Project\IMG\robocam_2017_06_06_21_16_39_902.jpg;0;0;1;0;99.66999;85.58897;0.000236204;56.82556;1.483708E-07
C:\Users\The Commander\Documents\GitHub\RoboND-Rover-Project\IMG\robocam_2017_06_06_21_16_39_910.jpg;0;0;0;0;99.66999;85.58897;0.0002361735;56.82556;2.506501E-07
C:\Users\The Commander\Documents\GitHub\RoboND-Rover-Project\IMG\robocam_2017_06_06_21_16_39_966.jpg;0;0;0;0;99.66999;85.58897;0.0002362192;56.82556;9.723114E-08
C:\Users\The Commander\Documents\GitHub\RoboND-Rover-Project\IMG\robocam_2017_06_06_21_16_40_016.jpg;0;0;0;0;99.66999;85.58897;0.0002361887;56.82556;1.995105E-07
C:\Users\The Commander\Documents\GitHub\RoboND-Rover-Project\IMG\robocam_2017_06_06_21_16_40_067.jpg;0;0;0;0;99.66999;85.58897;0.0002362344;56.82556;4.609148E-08
C:\Users\The Commander\Documents\GitHub\RoboND-Rover-Project\IMG\robocam_2017_06_06_21_16_40_116.jpg;0;0;0;0;99.66999;85.58897;0.0002359994;56.82556;8.743442E-08
C:\Users\The Commander\Documents\GitHub\RoboND-Rover-Project\IMG\robocam_2017_06_06_21_16_40_168.jpg;0;0;0;0;99.66999;85.58897;0.0002360908;56.82556;-2.194035E-07
C:\Users\The Commander\Documents\GitHub\RoboND-Rover-Project\IMG\robocam_2017_06_06_21_16_40_219.jpg;0;0;0;0;99.66999;85.58897;0.0002358558;56.82556;-1.780541E-07
C:\Users\The Commander\Documents\GitHub\RoboND-Rover-Project\IMG\robocam_2017_06_06_21_16_40_267.jpg;0;0;0;0;99.66999;85.58897;0.0002359472;56.82556;-4.848985E-07
C:\Users\The Commander\Documents\GitHub\RoboND-Rover-Project\IMG\robocam_2017_06_06_21_16_40_318.jpg;0;0;0;0;99.66999;85.58897;0.0002359167;56.82556;-3.826192E-07
C:\Users\The Commander\Documents\GitHub\RoboND-Rover-Project\IMG\robocam_2017_06_06_21_16_40_368.jpg;0;0;0;0;99.66999;85.58897;0.000235871;56.82556;-2.291937E-07
C:\Users\The Commander\Documents\GitHub\RoboND-Rover-Project\IMG\robocam_2017_06_06_21_16_40_417.jpg;0;0;0;0;99.66999;85.58897;0.0002359319;56.82556;-4.337589E-07
C:\Users\The Commander\Documents\GitHub\RoboND-Rover-Project\IMG\robocam_2017_06_06_21_16_40_467.jpg;0;0;0;0;99.66999;85.58897;0.0002358862;56.82556;-2.803334E-07
C:\Users\The Commander\Documents\GitHub\RoboND-Rover-Project\IMG\robocam_2017_06_06_21_16_40_519.jpg;0;0;0;0;99.66999;85.58897;0.0002359015;56.82556;-3.314796E-07
C:\Users\The Commander\Documents\GitHub\RoboND-Rover-Project\IMG\robocam_2017_06_06_21_16_40_567.jpg;0;0;0;0;99.66999;85.58897;0.0002359015;56.82556;-3.314796E-07
C:\Users\The Commander\Documents\GitHub\RoboND-Rover-Project\IMG\robocam_2017_06_06_21_16_40_618.jpg;0;0;0;0;99.66999;85.58897;0.000235871;56.82556;-2.291937E-07
C:\Users\The Commander\Documents\GitHub\RoboND-Rover-Project\IMG\robocam_2017_06_06_21_16_40_668.jpg;0;0.1031173;0;0;99.6701;85.58914;0.005425032;56.82555;-5.386111E-07
C:\Users\The Commander\Documents\GitHub\RoboND-Rover-Project\IMG\robocam_2017_06_06_21_16_40_718.jpg;0;0.2509026;0;0;99.67046;85.58971;0.02039585;56.84737;-8.085002E-06
C:\Users\The Commander\Documents\GitHub\RoboND-Rover-Project\IMG\robocam_2017_06_06_21_16_40_769.jpg;0;0.4006657;0;0.01621025;99.67142;85.59117;0.05681469;56.97435;-0.0001102586
C:\Users\The Commander\Documents\GitHub\RoboND-Rover-Project\IMG\robocam_2017_06_06_21_16_40_818.jpg;0;0.5511183;0;0.03741526;99.67268;85.59312;0.1040616;56.96463;-3.032569E-05
C:\Users\The Commander\Documents\GitHub\RoboND-Rover-Project\IMG\robocam_2017_06_06_21_16_40_868.jpg;0;0.6997262;0;0.05871623;99.67581;85.59796;0.2192335;57.07354;-0.000320034
C:\Users\The Commander\Documents\GitHub\RoboND-Rover-Project\IMG\robocam_2017_06_06_21_16_40_919.jpg;0;0.8519361;0;0.07368214;99.67868;85.60239;0.3204443;57.06228;-0.0002489189
C:\Users\The Commander\Documents\GitHub\RoboND-Rover-Project\IMG\robocam_2017_06_06_21_16_40_967.jpg;0;1;0;0.1455722;99.68465;85.61157;0.5129668;57.0249;-0.0002208694
C:\Users\The Commander\Documents\GitHub\RoboND-Rover-Project\IMG\robocam_2017_06_06_21_16_41_018.jpg;0;1;0;0.1628626;99.68975;85.61937;0.6601982;56.89825;0.0002920233
C:\Users\The Commander\Documents\GitHub\RoboND-Rover-Project\IMG\robocam_2017_06_06_21_16_41_068.jpg;0;1;0;0.2119265;99.69891;85.63338;0.9003536;56.95215;-0.001462668
C:\Users\The Commander\Documents\GitHub\RoboND-Rover-Project\IMG\robocam_2017_06_06_21_16_41_117.jpg;0;1;0;0.257537;99.70636;85.64481;1.083117;56.93685;-4.771313E-05
C:\Users\The Commander\Documents\GitHub\RoboND-Rover-Project\IMG\robocam_2017_06_06_21_16_41_168.jpg;0;1;0;0.2952388;99.71809;85.66251;1.295354;56.98326;-0.002050861
C:\Users\The Commander\Documents\GitHub\RoboND-Rover-Project\IMG\robocam_2017_06_06_21_16_41_219.jpg;0;1;0;0.3277599;99.72562;85.67366;1.302676;56.95131;-0.0009075291
C:\Users\The Commander\Documents\GitHub\RoboND-Rover-Project\IMG\robocam_2017_06_06_21_16_41_268.jpg;0;1;0;0.3829624;99.73753;85.69177;1.197971;56.90833;-0.001059498
C:\Users\The Commander\Documents\GitHub\RoboND-Rover-Project\IMG\robocam_2017_06_06_21_16_41_318.jpg;0;1;0;0.4172309;99.74643;85.70534;1.137446;56.86087;0.0004818634
C:\Users\The Commander\Documents\GitHub\RoboND-Rover-Project\IMG\robocam_2017_06_06_21_16_41_368.jpg;0;1;0;0.4704974;99.7617;85.72856;1.103037;56.85932;3.146205E-05
C:\Users\The Commander\Documents\GitHub\RoboND-Rover-Project\IMG\robocam_2017_06_06_21_16_41_418.jpg;0;1;0;0.5109979;99.77293;85.7456;1.106549;56.75847;0.0008564946
C:\Users\The Commander\Documents\GitHub\RoboND-Rover-Project\IMG\robocam_2017_06_06_21_16_41_469.jpg;0;1;0;0.5408956;99.79203;85.77452;1.172662;56.69135;-0.0001541117
C:\Users\The Commander\Documents\GitHub\RoboND-Rover-Project\IMG\robocam_2017_06_06_21_16_41_518.jpg;0;1;0;0.583889;99.80564;85.79509;1.218876;56.68296;-0.0005860882
C:\Users\The Commander\Documents\GitHub\RoboND-Rover-Project\IMG\robocam_2017_06_06_21_16_41_568.jpg;0;1;0;0.6288408;99.82672;85.82696;1.238766;56.56466;-0.001139227
C:\Users\The Commander\Documents\GitHub\RoboND-Rover-Project\IMG\robocam_2017_06_06_21_16_41_619.jpg;0;1;0;0.6602803;99.84135;85.84901;1.224385;56.53757;-0.001379159
C:\Users\The Commander\Documents\GitHub\RoboND-Rover-Project\IMG\robocam_2017_06_06_21_16_41_668.jpg;0;1;0;0.7096716;99.86488;85.88434;1.199795;56.5747;-0.001134514
C:\Users\The Commander\Documents\GitHub\RoboND-Rover-Project\IMG\robocam_2017_06_06_21_16_41_718.jpg;0;1;0;0.7489815;99.88143;85.90919;1.183637;56.60598;-0.0007029658
C:\Users\The Commander\Documents\GitHub\RoboND-Rover-Project\IMG\robocam_2017_06_06_21_16_41_769.jpg;0;1;0;0.798403;99.90823;85.94938;1.199408;56.58608;-0.0004661558
C:\Users\The Commander\Documents\GitHub\RoboND-Rover-Project\IMG\robocam_2017_06_06_21_16_41_817.jpg;0;1;0;0.8358969;99.92709;85.97768;1.211829;56.61785;-0.001002608
C:\Users\The Commander\Documents\GitHub\RoboND-Rover-Project\IMG\robocam_2017_06_06_21_16_41_867.jpg;0;1;0;0.8872747;99.95691;86.02255;1.233022;56.61213;-0.0007888828
C:\Users\The Commander\Documents\GitHub\RoboND-Rover-Project\IMG\robocam_2017_06_06_21_16_41_919.jpg;0;1;0;0.9199715;99.97756;86.05363;1.236154;56.60865;-0.0009125495
C:\Users\The Commander\Documents\GitHub\RoboND-Rover-Project\IMG\robocam_2017_06_06_21_16_41_968.jpg;0;1;0;0.9750986;100.0097;86.10202;1.225263;56.60118;-0.0008415329
C:\Users\The Commander\Documents\GitHub\RoboND-Rover-Project\IMG\robocam_2017_06_06_21_16_42_017.jpg;0;1;0;1.007147;100.032;86.13558;1.213237;56.59621;-0.0008023535
C:\Users\The Commander\Documents\GitHub\RoboND-Rover-Project\IMG\robocam_2017_06_06_21_16_42_068.jpg;0;1;0;1.051486;100.0669;86.18809;1.216955;56.58999;-0.0007820729
C:\Users\The Commander\Documents\GitHub\RoboND-Rover-Project\IMG\robocam_2017_06_06_21_16_42_117.jpg;0;1;0;1.083203;100.0912;86.22452;1.222074;56.58527;-0.0008405712
C:\Users\The Commander\Documents\GitHub\RoboND-Rover-Project\IMG\robocam_2017_06_06_21_16_42_169.jpg;0;1;0;1.130432;100.1287;86.28102;1.221939;56.57533;-0.0008018757
C:\Users\The Commander\Documents\GitHub\RoboND-Rover-Project\IMG\robocam_2017_06_06_21_16_42_219.jpg;0;1;0;1.158896;100.1546;86.31992;1.223383;56.55642;-0.0005440579
C:\Users\The Commander\Documents\GitHub\RoboND-Rover-Project\IMG\robocam_2017_06_06_21_16_42_268.jpg;0;1;0;1.205167;100.1947;86.38017;1.226176;56.52158;-0.0007612868
C:\Users\The Commander\Documents\GitHub\RoboND-Rover-Project\IMG\robocam_2017_06_06_21_16_42_318.jpg;0;1;0;1.234375;100.2224;86.42163;1.228919;56.50121;-0.0006150452
C:\Users\The Commander\Documents\GitHub\RoboND-Rover-Project\IMG\robocam_2017_06_06_21_16_42_367.jpg;0;1;0;1.283323;100.2652;86.48586;1.234798;56.4714;-0.0007127196
C:\Users\The Commander\Documents\GitHub\RoboND-Rover-Project\IMG\robocam_2017_06_06_21_16_42_417.jpg;0;1;0;1.315457;100.2946;86.52991;1.23644;56.46051;-0.0008883982
C:\Users\The Commander\Documents\GitHub\RoboND-Rover-Project\IMG\robocam_2017_06_06_21_16_42_469.jpg;0;1;0;1.364353;100.3401;86.59796;1.238428;56.4399;-0.0008176526
C:\Users\The Commander\Documents\GitHub\RoboND-Rover-Project\IMG\robocam_2017_06_06_21_16_42_518.jpg;0;1;0;1.395311;100.3714;86.64468;1.243179;56.4266;-0.0008864523
C:\Users\The Commander\Documents\GitHub\RoboND-Rover-Project\IMG\robocam_2017_06_06_21_16_42_567.jpg;0;1;0;1.442579;100.4195;86.71666;1.247023;56.41154;-0.0009119129
C:\Users\The Commander\Documents\GitHub\RoboND-Rover-Project\IMG\robocam_2017_06_06_21_16_42_619.jpg;0;1;0;1.472711;100.4525;86.76594;1.248901;56.40191;-0.0008981965
C:\Users\The Commander\Documents\GitHub\RoboND-Rover-Project\IMG\robocam_2017_06_06_21_16_42_667.jpg;0;1;0;1.52061;100.5033;86.8418;1.252801;56.39057;-0.0009635537
C:\Users\The Commander\Documents\GitHub\RoboND-Rover-Project\IMG\robocam_2017_06_06_21_16_42_717.jpg;0;1;0;1.551638;100.5381;86.89368;1.256848;56.38277;-0.0009762047
C:\Users\The Commander\Documents\GitHub\RoboND-Rover-Project\IMG\robocam_2017_06_06_21_16_42_769.jpg;0;1;0;1.598167;100.5915;86.97334;1.257669;56.3722;-0.000988401
C:\Users\The Commander\Documents\GitHub\RoboND-Rover-Project\IMG\robocam_2017_06_06_21_16_42_818.jpg;0;1;0;1.628999;100.6281;87.02782;1.263294;56.36268;-0.0009880295
C:\Users\The Commander\Documents\GitHub\RoboND-Rover-Project\IMG\robocam_2017_06_06_21_16_42_868.jpg;-0.7458005;1;0;1.674359;100.6842;87.11128;1.265821;56.33923;-0.0009578476
C:\Users\The Commander\Documents\GitHub\RoboND-Rover-Project\IMG\robocam_2017_06_06_21_16_42_917.jpg;-3.002459;1;0;1.70502;100.7229;87.16788;1.266474;56.22496;-0.0002985201
C:\Users\The Commander\Documents\GitHub\RoboND-Rover-Project\IMG\robocam_2017_06_06_21_16_42_967.jpg;-5.25073;1;0;1.750858;100.7834;87.25371;1.263512;55.81127;0.001100115
C:\Users\The Commander\Documents\GitHub\RoboND-Rover-Project\IMG\robocam_2017_06_06_21_16_43_018.jpg;-7.513125;1;0;1.780552;100.8255;87.31149;1.263562;55.37537;0.002255364
